t,particle,x,y,vx,vy,speed
18.019999999999705,4,0.508730181085864,0.8201429858282487,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.039999999999704,1,0.4256274568149421,0.19786339199433162,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.039999999999704,2,0.44893658250380897,0.35797401574127474,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.039999999999704,3,0.17856020484400026,0.870937560172684,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.039999999999704,4,0.4960847203564028,0.8296210997164787,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.059999999999704,1,0.40834474093733486,0.18479255873106054,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.059999999999704,2,0.45759819803529184,0.3840870979039633,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.059999999999704,3,0.16239636442365712,0.8597594151992322,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.059999999999704,4,0.48343925962694156,0.8390992136047086,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.079999999999703,1,0.39106202505972765,0.17172172546778947,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.079999999999703,2,0.4662598135667747,0.4102001800666518,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.079999999999703,3,0.146232524003314,0.8485812702257803,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.079999999999703,4,0.47079379889748035,0.8485773274929386,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.099999999999703,1,0.37377930918212043,0.1586508922045184,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.099999999999703,2,0.4749214290982576,0.43631326222934036,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.099999999999703,3,0.13006868358297086,0.8374031252523285,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.099999999999703,4,0.45814833816801914,0.8580554413811685,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.119999999999703,1,0.3564965933045132,0.14558005894124731,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.119999999999703,2,0.48358304462974044,0.4624263443920289,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.119999999999703,3,0.11390484316262771,0.8262249802788767,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.119999999999703,4,0.44550287743855793,0.8675335552693985,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.139999999999702,1,0.339213877426906,0.13250922567797624,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.139999999999702,2,0.4922446601612233,0.48853942655471744,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.139999999999702,3,0.09774100274228456,0.8150468353054249,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.139999999999702,4,0.4328574167090967,0.8770116691576284,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.1599999999997,1,0.3219311615492988,0.11943839241470518,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.1599999999997,2,0.5009062756927062,0.514652508717406,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.1599999999997,3,0.11390484316262771,0.8038686903319731,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.1599999999997,4,0.4202119559796355,0.8864897830458583,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.1799999999997,1,0.3046484456716916,0.10636755915143412,-0.864135793880362,-0.6535416631635531,1.0834423730664342
18.1799999999997,2,0.509567891224189,0.5407655908800945,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.1799999999997,3,0.13006868358297086,0.7926905453585212,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.1799999999997,4,0.4075664952501743,0.8959678969340883,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.1999999999997,1,0.28736572979408437,0.09329672588816305,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.1999999999997,2,0.5182295067556718,0.5668786730427829,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.1999999999997,3,0.146232524003314,0.7815124003850694,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.1999999999997,4,0.3949210345207131,0.9054460108223182,-0.6322730364730607,-0.47390569441149466,0.7901618820510803
18.2199999999997,1,0.27008301391647715,0.10636755915143412,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.2199999999997,2,0.5268911222871546,0.5929917552054714,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.2199999999997,3,0.16239636442365712,0.7703342554116176,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.2199999999997,4,0.3822755737912519,0.8959678969340883,-0.6322730364730607,-0.47390569441149466,0.7901618820510803
18.2399999999997,1,0.25280029803886994,0.11943839241470518,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.2399999999997,2,0.5355527378186374,0.6191048373681599,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.2399999999997,3,0.17856020484400026,0.7591561104381658,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.2399999999997,4,0.36963011306179067,0.8864897830458583,-0.6322730364730607,-0.47390569441149466,0.7901618820510803
18.2599999999997,1,0.2355175821612627,0.13250922567797624,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.2599999999997,2,0.5442143533501203,0.6452179195308484,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.2599999999997,3,0.1947240452643434,0.747977965464714,0.8081920210171574,-0.5589072486725893,0.9826248803356045
18.2599999999997,4,0.35698465233232946,0.8770116691576284,-0.6322730364730607,-0.47390569441149466,0.7901618820510803
18.2799999999997,1,0.21823486628365546,0.14558005894124731,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.2799999999997,2,0.5528759688816031,0.6713310016935369,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.2799999999997,3,0.21088788568468653,0.7367998204912621,0.11563532693500123,-1.237360880429999,1.2427523797015505
18.2799999999997,4,0.34433919160286824,0.8675335552693985,0.06028365760909549,0.20454793734591503,0.21324628495521097
18.2999999999997,1,0.20095215040604822,0.1586508922045184,-0.864135793880362,0.6535416631635531,1.0834423730664342
18.2999999999997,2,0.5615375844130859,0.6974440838562254,0.4330807765741424,1.3056541081344257,1.3756059061832953
18.2999999999997,3,0.21320059222338655,0.7120526028826621,0.11563532693500123,-1.237360880429999,1.2427523797015505
18.2999999999997,4,0.34554486475505014,0.8716245140163168,0.06028365760909549,0.20454793734591503,0.21324628495521097
